nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Birrulwalidain Terdekat,Masjid,"Gg. Tj. II No.37-28, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Buka 24 jam,"4,6",9,,Tidak Ada ,Tidak Tersedia,-6.5538821,107.4434178,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Manaar Purwakarta,Masjid,"Jl. Purnawarman Barat, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",04.00 hingga 20.00,"4,7",24,,Tidak Ada ,Tidak Tersedia,-6.5623784,107.4434349,Aksesibilitas Tersedia,[]
Mdta Al Misbah,Masjid,"Jl. Kolonel Rahmat No.21, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",07.00 hingga 15.30,"4,7",29,,Tidak Ada ,Tidak Tersedia,-6.5422573,107.4557422,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Kautsar,Masjid,"FFG8+V3C, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,7",10,,Tidak Ada ,Tidak Tersedia,-6.5228003,107.4651312,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Asalafiyah,Masjid,"Jl. Kp. Karang Anyar, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5512359,107.4465679,Aksesibilitas Tersedia,[]
Masjid Jami Al Mujahidin,Masjid,"Jl. Lodaya Kp. Baru No.60, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,8",18,,Tidak Ada ,Tidak Tersedia,-6.5554453,107.4498574,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Maghribie,Masjid,"FC4M+6JG, Kp.Sukarata Kelurahan, RT.20/RW.06, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",7,"
0859-2621-1968",Ada,Tidak Tersedia,-6.5444294,107.4340642,Aksesibilitas Tersedia,[]
Masjid Al-Hijrah,Masjid,"FFG3+PPF Cluster Koba Village, Ciseureuh, Purwakarta, Purwakarta Regency, West Java 41118",,"5,0",11,,Tidak Ada ,Tidak Tersedia,-6.5231861,107.4542995,Aksesibilitas Tersedia,[]
Masjid Besar Al-Hikmah,Masjid,"FFV7+WHF, Jl. Raya Cibening Bungursari, Ciwangi, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",,"4,6",162,,Tidak Ada ,Tidak Tersedia,-6.5051804,107.4639259,Aksesibilitas Tersedia,[]
Masjid Jami Al - Hidayah,Masjid,"Jl. Lodaya Kp. Baru No.8, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,9",17,,Tidak Ada ,Tidak Tersedia,-6.5541736,107.4513021,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Endan Andansih,Masjid,"8F2F+7H4, Neglasari, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",04.30 hingga 21.30,"4,8",561,,Tidak Ada ,Tidak Tersedia,-6.7000642,107.4737009,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami Al Hikmah,Masjid,"FF47+9H7, Jl. Citalang, Citalang, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,8",24,,Tidak Ada ,Tidak Tersedia,-6.5440861,107.463912,Aksesibilitas Tersedia,[]
Masjid Baitul Auliya (LDII),Masjid,"Jl. Irigasi, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",04.15 hingga 22.00,"4,8",122,,Ada,Tersedia,-6.5173377,107.4589008,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Dzikrullah,Masjid,"FFF3+WP9, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,8",5,,Tidak Ada ,Tidak Tersedia,-6.5252243,107.4543665,Aksesibilitas Tersedia,[]
Masjid Al-Munajat,Masjid,"Jl. K.K Singawinata No.rt 21/03, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,0",3,,Tidak Ada ,Tidak Tersedia,-6.5551741,107.4468077,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Muhsin,Masjid,"FFP4+P9X, Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,6",141,,Tidak Ada ,Tidak Tersedia,-6.5131449,107.4559699,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Qohhar,Masjid,"FC2Q+4QR, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,7",19,,Tidak Ada ,Tidak Tersedia,-6.5496349,107.4393911,Aksesibilitas Tersedia,[]
Masjid Al-Qona'at,Masjid,"Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"5,0",3,"
0815-8579-7096",Ada,Tidak Tersedia,-6.542348,107.4504218,Aksesibilitas Tersedia,[]
Masjid Jamie Roudlotul Jannah,Masjid,"FCCM+9CX, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5290004,107.4335999,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Hidayah,Masjid,"FC7R+MFH, Jl. Anggrek II, RT.025/RW.003, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,8",31,,Tidak Ada ,Tidak Tersedia,-6.5358059,107.4412425,Aksesibilitas Tersedia,[]
Masjid Al islam,Masjid,"Jl. Jend. Ahmad Yani No.130 13, RW.4, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,6",5,,Tidak Ada ,Tidak Tersedia,-6.5497878,107.4376922,Aksesibilitas Tersedia,[]
Masjid Ar-rahman Polsek Purwakarta,Masjid,"Jl. Jend. Ahmad Yani No.65, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,4",15,,Tidak Ada ,Tidak Tersedia,-6.5571118,107.4369051,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
