nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
HKBP SUBANG,Gereja Lutheran,"Jl. Gelanggang Olah Raga No.5, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"5,0",3,,Tidak Ada ,Tersedia,-6.5777922,107.7630268,Aksesibilitas Tersedia,[]
Gua Maria Tebar Kamulyan Subang,Tempat Ziarah,"Cikalapa Jl. A. Nanta Sukarya No.18, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"4,7",546,"
(0260) 421805",Ada,Tidak Tersedia,-6.5768808,107.7643823,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Kelenteng Pakkung Pering,Vihara,"Jalan tanpa nama No.desa, Mayang, Kec. Cisalak, Kabupaten Subang, Jawa Barat 41283",,,,,Tidak Ada ,Tidak Tersedia,-6.7632703,107.7576992,Aksesibilitas Tersedia,[]
wisma meditasi Dirghayuka Prabha,Vihara,"7MV9+J43, Jl.kampung cilimus, Cisaat, Kec. Ciater, Kabupaten Subang, Jawa Barat",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.7059892,107.6677863,Aksesibilitas Tersedia,[]
Vihara Sila persada pamanukan-subang,Vihara,"Unnamed Road, Pamanukan, Kec. Pamanukan, Kabupaten Subang, Jawa Barat 41254",,"4,5",4,,Tidak Ada ,Tidak Tersedia,-6.2861724,107.8116804,Aksesibilitas Tersedia,[]
Brahma vihari meditation center entrance,Vihara,"Jl. Tambak Mekar-Kaso Malang No.208, Kumpay, Kec. Jalancagak, Kabupaten Subang, Jawa Barat 41281",,,,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Vipassana Dirghayuka Prabha,Vihara,"7MV9+2R4, Cisaat, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",,,,,Tidak Ada ,Tidak Tersedia,-6.707002,107.6691,Aksesibilitas Tersedia,[]
PURI BUN,Pura,"CQQ6+38M, Br Rambing Subang, kaje, kec. Adia senar, kab. Badung, bali",,,,,Tidak Ada ,Tidak Tersedia,-6.5622888,107.7607951,Aksesibilitas Tersedia,[]
Lembur Pakuan Sukadaya Subang,Tujuan Wisata,"Jl. Raya Dangdeur, Desa Sukasari, Rawalele, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",,"4,8",3.616,,Tidak Ada ,Tidak Tersedia,-6.5458283,107.722619,Aksesibilitas Tersedia,[]
Mitsubishi Subang Prabu Pura Motor,Dealer Mitsubishi,"Jln. Mayjen Sutoyo S No.49, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",08.30 hingga 16.30,"4,6",119,,Ada,Tidak Tersedia,-6.5566518,107.7631107,Aksesibilitas Tersedia,[]
SD NEGERI TANJUNG PURA,Sekolah Dasar,"JQ75+2G8, Tanjungsari Bar., Kec. Cikaum, Kabupaten Subang, Jawa Barat 41253",,,,"
0813-2063-1638",Ada,Tidak Tersedia,-6.3874508,107.7588412,Aksesibilitas Tersedia,[]
