nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Besar An-Nur,Masjid,"6GV4+3W3, Cempaka, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",,"4,8",149,,Tidak Ada ,Tidak Tersedia,-6.7573668,108.5072958,Aksesibilitas Tersedia,[]
Masjid Miladul Muttaqin,Masjid,"7HF4+QGR, Jl. DR. Sutomo, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",,"4,7",166,"
0831-7987-4254",Ada,Tidak Tersedia,-6.7255097,108.5562625,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Al-Auliya,Masjid,"Blk. Canggong No.7, Battembat, Kec. Tengah Tani, Kabupaten Cirebon, Jawa Barat 45153",,"4,7",92,,Tidak Ada ,Tidak Tersedia,-6.7046861,108.5190728,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Jumhur,Masjid,"Jl. Sunyaragi No.37, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",,"4,7",118,,Tidak Ada ,Tidak Tersedia,-6.7361571,108.5468532,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Nurul Huda,Masjid,"Jl. Jenderal Sudirman, Ciperna, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",Buka 24 jam,"4,7",37,,Tidak Ada ,Tidak Tersedia,-6.7628456,108.5297275,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid PDAM Kota Cirebon,Masjid,"7GPX+XMG, Jl. Tuparev, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45153",,"4,4",8,,Tidak Ada ,Tidak Tersedia,-6.7125517,108.5492091,Aksesibilitas Tersedia,[]
Masjid Wasiatul Ulama,Masjid,"Jl. Karya Bhakti III, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",,"4,7",35,,Tidak Ada ,Tidak Tersedia,-6.7528351,108.5347248,Aksesibilitas Tersedia,[]
Masjid Kraton Kanoman,Masjid,"Jalan Kanoman Utara RW.10, Pekalipan, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45117",,"4,7",76,,Tidak Ada ,Tidak Tersedia,-6.7217546,108.5670229,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Baiturrohim,Masjid,"7GVG+HX9, Jalan Raya Kemlaka, Sampang, Kemlakagede, Tengah Tani, Cirebon, West Java 45153",Buka 24 jam,"4,9",63,,Tidak Ada ,Tidak Tersedia,-6.7060792,108.5274935,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Ash-Shamad (Masjid Bambu),Masjid,"7HV6+JHF, Kebonbaru, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",03.00 hingga 21.45,"4,9",75,,Ada,Tidak Tersedia,-6.7059453,108.5614087,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Darul Ulum,Masjid,"Jl. Cideng Raya No.194e, Kertawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",,"4,5",38,,Tidak Ada ,Tidak Tersedia,-6.7173681,108.534352,Aksesibilitas Tersedia,[]
Masjid Jami' Assalam,Masjid,"Jl. Stasiun No.6, Kebonbaru, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",,"4,8",66,,Tidak Ada ,Tidak Tersedia,-6.7046927,108.5565191,Aksesibilitas Tersedia,[]
Masjid Jami Jagabayan,Masjid,"Jl. Karanggetas No.191, Panjunan, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45113",Buka 24 jam,"4,5",136,,Tidak Ada ,Tidak Tersedia,-6.7195183,108.5657308,Aksesibilitas Tersedia,[]
Masjid Nur Rohman,Masjid,"7HM2+QRH, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Buka 24 jam,"4,8",10,,Tidak Ada ,Tidak Tersedia,-6.7155627,108.5521173,Aksesibilitas Tersedia,[]
